sense_1,sense_2,mark
по делу есть дело к кому либо,быть занятым,0
обсудить, обсуждать,0
тренироваться в стрельбе,учебные стрельбы,0
подъём якоря выход в открытое море,грязь брызги,0
произведение,творение,0
мах оборот,поворот разворот,0
забавный занятный весёлый,отнимающий много времени кропотливый,0
определяющий фактор,решающий фактор,0
залежь месторождение руды,рудник копь,0
гладкий,ровный,0
отрезать для себя,выделять,0
согласие соответствие,общительность,0
сгореть погибнуть в огне от пожара,угореть обгореть сгореть,0
скиталец,странник,0
гарантировать уплату стоимости в случае недоброкачественности товара,полностью возмещать стоимость товара,0
баловать,нежить холить,0
бок,ребро,0
искушённый,опытный,0
поменять,замена,0
опадать осыпаться блёкнуть вянуть опавший увядший,опускать спускать складывать,0
ритуальное разбрасывание бобов,посев бобов,0
Игра при которой играющие ударами деревянных молотков проводят свои шары через проволочные воротца,Набор принадлежностей для такой игры,0
деревянный брус,вершина высшая точка,0
быть подходящим подходить соответствовать,при годное подходящее,0
рвать отрывать срывать вырывать выдёргивать прорывать разрывать раздирать,вырывать поднимать рывком,0
зачисление на действительную службу,включение в штат,0
изобильный богатый зажиточный достаточный изобилие достаток богатство,щедрый гуманный великодушный,0
безудержный,необузданный,0
присуждённая награда премия или наказание,присуждение,0
проверять,удостоверять свидетельствовать,0
незаменимый,несменяемый,0
огорчать печалить,огорчаться печалиться,0
идти ступать шагать,топтать наступать давить,0
пользоваться электронной почтой,отправить отправлять по электронной почте прислать присилать по мейлу,0
продолжительная драка,беспорядок свалка беспорядочное скопление,0
ассоциация общество,объединять в ассоциацию,0
врать,лгать,0
пересадка,переливание крови,0
лётчик лётчица водитель самолета,пилот тот кто управляет летательным аппаратом,0
локомотив машинапаровоз тепловоз электровоз движущаяся по рельсам и предназначенная для тяги прицеплённых к ней вагонов,локомотивный локомотивная бригада,0
Проводить черту линию,Делать изготовлять чертеж,0
богатство,роскошь,0
воздержанный скромный,сдержанный,0
отливать отлить отбавлять отбавить,техн отливать отлить,0
лежебока,лентяй,0
плетеная корзина,парусиновая или брезентовая сумка,0
постороннее чужеродное тело,другая вещь,0
зажигание цепь зажигания напряжение зажигания,зажигательный зажигательный фитиль зажигательный патрон зажигательная свеча,0
тело,сложение,0
тело,физический,0
разрубать разделять на части разделывать,расчленять дробить,0
место помещение,площадь,0
оркестровый,предназначенный для исполнения оркестром написанный для оркестра оркестровая музыка,0
трясина,болото топь,0
углубление впадина,выемка выбоина ниша бороздка лунка,0
сон дремота сонное состояние,спать быть сонным дремать находиться в полусонном состоянии,0
жилище местожительство,логовище берлога,0
наследие,наследование,0
наследство,наследование,0
наследие,наследственное имущество,0
оценивать назначать цену,повышать цену,0
сокращать,сокращаться,0
лепить,сокращаться,0
сократить,сокращаться,0
сокращать,разоружаться,0
принимать приказ к исполнению руководствоваться полученным повелением,не повиноваться приказу не покоряться повелению восставать поднимать мятеж,0
пугать испугать напугать стращать стращить устращать устращить внушить страх,грозить угрожать пригрозить,0
открывать,освобождать оставляя пустым,0
покрытие,прикрытие крыша,0
уксусное производство,торговля уксусом,0
отскок,сальто,0
безбожие атеизм,богохульство богохульствовать,0
силовой,сила,0
роза,а имеющий запах аромат розы,0
роза,розовый цвет,0
освобождать,освобождаться избавляться от чего л,0
завязывать завязать привязывать привязать,связывать связать,0
закрывать затворять что л,раскатывать тесто,0
обуженный тесный куцый,куцый урезанный,0
арестовать,арестовывать,0
поднимать,поднимать вытаскивать вынимать,0
поднимать,подниматься,0
поднимать,продвигать проталкивать,0
собираться сходиться,объединять унифицировать ставить на одну доску приравнивать,0
собираться сходиться,обойтись приноровиться приспособиться вывернуться перетерпеть,0
шуметь галдеть издавать производить шум гам галдёж,шуметь браниться скандалить кричать громко выражать недовольство,0
запрягать впрягать,распрягать обозы т е делать привал располагаться лагерем,0
мерить отмеривать отмерить,наносить нанести что л кому л награждать наградить кого л чём л,0
круто наклонный покатый,Юро пора когда тюлень щенится со второй недели февраля это лучшая пора для промысла,0
брать в руки поднимать,принимать напр требования внимать напр уговорам прислушиваться напр к советам,0
угорать,закисать бродить,0
лиловый,сиреневый,0
недостаточный,неудовлетворительный,0
уколоть кольнуть,сунуть,0
гремящий громкий гулкий,производящий гром,0
оттаскивать тащить увлекать уводить насильно,удерживать,0
поручительство передаточная надпись,поручительство ручательство,0
центральный компонент,ведущее слово несущий элемент,0
заражать чумой заражать распространять заразу,заражать отравлять портить,0
заражать чумой заражать распространять заразу,заражать отравлять портить,0
счётная машина арифмометр,вычислительная машина,0
видимый заметный,заметный,0
разбухать вздуваться пухнуть,переполнять,0
качать раскачивать трясти колыхать шатать,трогать с места перемещеть переставлять,0
усиленный сварной шов,усиленный шов,0
допустимость дозволенность,урожайность обилие,0
компонент,слагаемое число элемент,0
компонент,составляющая,0
исправлять поправлять,проверять выверять,0
выходить выйти,только л вырвавшись откуда л стремительно подняться в воздух о снаряде пробке пробка вылетела из горлышка бутылки,0
выходить выйти,выехать,0
рассматривать,рассуждать размышлять,0
американский москит,обилие множество масса,0
зарезать,отпилить,0
бросать отбрасывать,играть в поддавки намеренно проигрывать соревнование,0
сверление отверстий,штопор,0
пить поглощать жидкость пей,сжиматься сморщиваться,0
определённый чёткий ясный,эффективный напористый сильный смелый,0
сгибание наклон,изгиб наклон склонение отклонение,0
изнурение,истощение,0
ободрять подбадривать веселить,будить прогонять сон,0
качать раскачивать,покачиваться,0
припомнить вспомнить,подумать,0
золотая оправа золотой ободок золотая рамка золотой обрез у книги,очки в золотой оправе,0
нижняя часть ноги от мыщелок берца до подошвы ступня лапа плюсна ножная кисть,чтолибо тонкое сухое хрупкое на плевелы похожее,0
сокращение сокращённое слово аббревиатура,более короткий путь,0
отказаться отрешиться запереться отпереться,отговориться,0
убирать косить жать,срезывать отрубать отсекать,0
денежная единица стандарт,желание цель намерения,0
железная скоба крюк металлическая лапа застёжка,зажим клемма,0
пройти насквозь дойти довести до конца последовательно претворить в жизнь полностью осуществить на деле быть последовательным до конца,пронизывать быть пронизанным,0
самосвал автомобиль самосвал,лоткообразный опрокидной кузов,0
быть задержанным арестованным,задерживаться быть стесненым о дыхании я крикнул но крик застрял у меня в горле,0
наводнение затопление,наплыв,0
оскорблять наносить оскорбление,бесчестить позорить,0
собственная мощность,собственная выработка объём работ выполненных собственными силами,0
ягодицы,круп зад,0
индивидуальный привод,однодвигательный привод,0
устанавливать,останавливаться на ночлег и п,0
гнить загнивать портиться,развращаться разлагаться,0
срочный,неотложный,0
растение дерюза чилига чапыжник,Растение железняк бобровник жерновец,0
оплата уплата выплата оплата труда работников,окупаемость возмещение производственных расходов окупаемость материальных затрат,0
трещать, греметь,0
откладывать отложить,обходить обойти,0
Своеобразный,Своеобразно,0
Ю подкинутый,дикий,0
справочный предназначенный для наведения или выдачи справок справочная книга справочник справочное бюро справочный стол справочная служба,давать дать справку,0
волокно,ниточка,0
заключить условие и внести залог подарки договориться о свадьбе совершить помолвку подарки при помолвке,завязывать дружбу тесно связываться входить в контакт,0
кожаный,меховой,0
утомление,укачивание,0
бюро по найму гейш,гейша из этого бюро,0
планктон скопление мельчайших растительных и животных организмов живущих в морях реках озёрах морской планктон речной планктон,планктонный планктонные водоросли планктонные организмы,0
воин боец солдат,военный относящийся к воину воинский солдатский,0
оглядываться смотреть назад ретроспектива,обращаться к прошлому оглядываться на прошлое бросать ретроспективный взгляд вспомнить оживить в памяти возвращаться памятью,0
бесконечный безграничный,огромный очень большой,0
закрывание,перекрытие,0
экспрессионист,экспрессионистский,0
царство,империализм,0
отстранение от должности лишение звания,начало издания первый выпуск опубликование,0
команда приказание,команда воинская часть,0
положение,обстоятельство,0
баня купальня,отхожее место уборная,0
украшение,смазка для ремней,0
тю подумаешь выражение беспечности пренебрежения,ба выражение удивления,0
Ядовитый отравляющий,Вызываемый действием токсинов,0
протекать,протекать протечь проходить пройти,0
перенос,перенос,0
прочный надёжный крепкий,сильный твёрдый,0
покатить,повалиться,0
приготовиться к началу работы на ткацком станке,отрезать бахрому на конце самотканого полотна,0
лицо,мат площадь,0
ионизирующая камера,камера ионизации,0
дуновение веяние ветерок воздушное течение,ветер,0
пересадить,перебрать снова,0
отталкивать отгонять оттеснять,отрывать освобождать,0
пробовать дегустировать,испытывать подвергать испытанию,0
палата,палата,0
человек отдающий в наём,съёмщик арендатор,0
многослезный исторгающий много слез,сопровождаемый потоками слез,0
Основатель основоположник учредитель,Учредительный учредительное собрание,0
костюм одежда платье,костюмированный маскарадный,0
Образовать в соединении жидкостью однородную смесь,Стать незаметным потеряться среди кого исчезнуть,0
дробеструйная установка,пескоструйная установка,0
собственноручное письмо автограф императора,собственноручное письмо,0
удержание,преодолевать,0
след от укуса,синяк контузия,0
сочетать что с чем комбинировать что,составлять составить собирать собрать монтировать смонтировать что монтировать машину,0
шустрость живость подвижность проворность бойкость,ловкость находчивость сообразительность,0
уполномочивать,давать мандат,0
уполномочивать,давать поручение,0
речь дар речи,голос,0
замерзать примерзать,остывать,0
шпагат верёвочка,шпагат,0
уносить о ветре рассеивать развеивать,веять зерно,0
нечистый неопрятный грязный нечистоплотный,загрязнённый непригодный,0
избиение подушкой,театр забрасывание подушками,0
гнуть,гнуться,0
вступать в брак жениться,женить,0
выделывать изготовлять,выдумывать изобретать создавать,0
толстый,имеющий большой диаметр толстые трубы толстые косы толстая верёвка толстое бревно толстая проволока толстая нитка толстая кишка,0
Почувствовать испуг боязнь,Отступить отказаться от из за боязни Испугаться трудностей,0
лига, объединение,0
стоящий на задних лапах,с устоями расположенными на разных уровнях,0
зимнее небо зимняя погода,восточная половина неба восток неба,0
гасить тушить,умерять,0
ядовитый,нездоровый вредный,0
засыхание иссыхание усыхание,усыхание,0
подписывать,расписываться,0
вес мера авторитет,составляющая компонента,0
свободная земля свободный незанятый участок,свободное место,0
вынос тела похоронная процессия,выбалтывание разглашение,0
спутанные волокна шелковичного кокона,спутанный клубок,0
карабкаться,поднимать с трудом,0
выезд,быть хорошо охо одетым быть хорошо охо оборудованным хорошо охо оснащённым,0
выполнение соблюдение,правило устав,0
ударение,тон в разн знач,0
хлопотать вокруг ухаживать окружать заботой,пожирать растерзывать,0
совершенный превосходный отличный законченный,окончательный,0
проходить мимо пролетать проноситься,вторгаться врываться,0
общий всеобщий повсеместный,генеральный главный ведущий,0
единица,первое наименьшее число в десятке а также цифра его обозначающая,0
литературный,литературный соответствующий нормам литературного языка,0
тонуть,заходить,0
достаточный значительный приличный,убирать приводить в порядок,0
манипулирование,обращение,0
вытягивание,удлинение продление,0
битый поломанный поломанное кресло,искалеченный изувеченный,0
ползать пресмы каться,ползать,0
быть перемещённым по службе с понижением,сходить по левой стороне спускаться по левому краю ступеней лестницы,0
ржать заржать,греметь издавать громкие резкие раскатистые звуки загреметь гром гремит,0
царапина,потеря части тела увечье,0
прожорливый,обжора лакомка,0
сколько в значении вопроса о количестве Сколько тебе лет Сколько дней остаётся до праздника,не первый не один который день уже чувствую себя хорошо которую ночь не сплю,0
предстать,предстать перед судом,0
изучение,приучение,0
отставить забросить вывести из употребления запущенный ненужный заброшенный,низлагать свергать,0
сверхурочно,лишний,0
обновление,возобновление,0
продолжение,возобновление,0
обновление,реорганизация,0
набивка,наполнение избирательных урн фальшивыми бюллетенями,0
вестник курьер посланник,посыльный связной,0
болванка,квадратная заготовка,0
развлекаться,получать удовольствие,0
обозначать обозначить отмечать отметить помечать пометить намечать наметить,обозначать обозначить знаменовать ознаменовать,0
узел,связь,0
Не паханная еще земля новь целина,Хлеб нового урожая,0
промышленность периферийных устройств,периферийные устройства,0
вырезывание гранение,гранильная мастерская фабрика,0
давить мять жать,угнетать притеснять давить,0
поджечь,разжечь,0
возвратиться, вернуться,0
непременный,обязательный,0
отзыв,почтение,0
балл,коэффициент,0
ВЫКЛИКАТЬ выкликать выкликнуть взывать восклицать,кого вызывать отзывать призывать звать откуда приглашать выйти,0
бамбуковые дощечки для письма книга на бамбуковых дощечках документ,приказ о назначении смещении,0
звон звонок,надувательство,0
опрокидывать,разбрызгивать расплёскивать,0
а полный наполненный целиком заполненный прям и перен,а кроить широко шить в сборку в складку,0
тонкий разрез трещина,разрез,0
приспособление для вынимания косточек из фруктов,шов,0
шов,шов,0
старый старая о человеке,сила мочь не имеет сил,0
усмирять умиротворять успокаивать,приводить в порядок наводить порядок,0
заняться,распорядиться,0
трансляция,транслировать,0
Хорошего качества удовлетворяющий требованиям,Не злокачественный,0
Беречь заботиться о сохранении не давать утратиться исчезнуть,со словами в памяти в сердце в душе и Не забывать всегда помнить,0
огороженный,человек имеющий много близких людей,0
кричать,рычать,0
гулять, курсировать,0
снабжать обеспечивать удовлетворять довольствовать давать предоставлять подавать поставлять доставлять вносить приносить,предложение,0
рассчитывать,предложение,0
один поёт трое вздыхают о трогательной песне музыке сочинении,повествовать с большим чувством исполненный чувства берущий за душу патетический,0
черкнуть,набросок,0
достаточный,пригодный способный,0
первое апреля день смеха,первоапрельская шутка,0
шум гул,бродить шипеть кипеть,0
ДАВАТЬ даяти дать давывать что кому вручать отпускать снабжать доставлять жаловать дарить или ссужать вверять поручать сообщать производить рождать приносить сулить обещать предлагать изъявлять представлять и предоставлять дозволять разрешать не претить не быть помехой,Принос гостинец подарок или иной способ изъявления признательности уважения,0
болотистый топкий,слезливый сентиментальный,0
уменьшить,умерить,0
место солнопек без тени где солнце жарить,Зонтик парасоль,0
соединение,скопление,0
Употребляется при обозначении места предмета и возле которого в непосредственной близости кто находится близок по значению предлогам возле у,Употребляется при указании явления события факта которым совпадает по времени действие,0
улетучиваться,сглаживаться,0
наставление вразумление поучение увещание,наставление напутствие нравоучение поучение,0
сустав сочленение ревматизм артрит подагра,язык,0
девиз эмблема,штемпель печать,0
беспризорник,бродяга,0
пить,пропивать,0
леденить,замораживать лишать непринуждённости,0
серебро,медь,0
повесить,врезать заехать,0
поджигатель,сжигающий огнём,0
Преобразование изменение Реформа правописания,Политическое преобразование не затрагивающее основ существующего государственного строя,0
загибать сгибать,счищать кожуру тонкой непрерывной полоской,0
слеза,слезиться,0
слеза,оплакивание покойника,0
старший взрослый,старший сын,0
страна гражданства страна регистрации родина,родная страна родина отчизна отечество,0
кормящий,грудной,0
строить сооружать воздвигать,готовить приготовлять стряпать,0
выдыхаться,выветриваться,0
презр урод недоносок,уродство,0
гнуть изгибать,разводить отводками,0
покрываться листьями о дереве,покрывать оклеивать бумагой обоями,0
удерживать сдерживать задерживать арестовывать,разбивать,0
отбивать,разбивать,0
задерживать,замедлять реакцию,0
перенесение,трансплантация,0
смешивать перемешивать,тасовать,0
становиться крепким сильным дюжим,становиться плотным толстым массивным,0
музыкальный музыкальные инструменты,исполнительский исполнительская манера ансамбль народных инструментов,0
развеваться колыхаться колыхнуться слегка мерно качаться от ветра реять,реять плавно почти незаметно двигаться,0
рафинированный,утончённый изощрённый,0
создать дымовую завесу [מִיסֵך],наливать  [מָסַך],0
продолжение продолжительность,продолжение,0
поющий,певец лирический поэт,0
забытый,забываться,0
цветок граната,гранат,0
отражать,отражаться,0
наука,знание,0
болтать,стучать,0
передняя конечность,передняя нога,0
широкий,состоящий из какого либо числа полос или полотнищ,0
абсолютный полный безусловный безоговорочный,безоговорочно следующий,0
дёргать выдёргивать выдернуть вы щипать выщипывать квас изе щипать шерсть с овцы,со рвать у за брать у обирать,0
угол обхвата,угол охвата,0
референдум всенародный опрос,запрос дипломатическим представителем инструкций у своего правительства,0
оттеснять,отбивать,0
оплодотворённый,овальный яйцевидный,0
танк резервуар цистерна,бак бачок канистра,0
денежный подарок подношение деньгами поднести денежный подарок,сломать спинной хребет,0
от Международный комитет по валютным операциям,от Сардинский промышленный кредитный банк,0
уединённое место,одиночество уединение,0
прекращать бой,прекращение военных действий прекращение боевых действий перемирие,0
вспахивать вспахать распахивать распахать,изрыть избороздить,0
борода растительность на лице,смело выступать против бросать вызов,0
осведомляющий,информатор осведомитель,0
нежный утончённый изысканный,даровой дешёвый,0
возвышение повышение поднятие,высота,0
блюдо из мелко нарубленных овощей,мелочи,0
расследовать обследовать,допрашивать,0
завинчивание свинчивание привинчивание,падение,0
чертить вырезывать,писать составлять,0
судорожный,интенсивный,0
распарывать,надрез,0
приближаться подходить по до двигаться ср ваки,заходить заезжать,0
получатель,искусный борец в сумо,0
сделать мат королю,желать получить что либо без промедления вынь да положь,0
Загон,Доение дойка,0
сойти с ума помешаться,быть без ума от кого быть помешанным на ком быть безумно влюблённым в кого,0
возвращение,отход отступление,0
входить,примыкать,0
грешить согрешить,сделать ошибку,0
живот брюшная полость брюхо утроба брюшной абдомен,душа в душе,0
управлять,посылать,0
пороховой погреб склад оружия,трюм,0
натягивать,протягивать проводить по прямой линии,0
отзываться откликаться на мольбы отвечать на моления о духах,таинственные звуки,0
а связь сцепление,б сплетение переплетение соединение,0
принадлежность ткацкого стана род гребня для прибоя утока для чего каждая нить основы продета в набор или зубья берда вложенного в набилки,пятиться от слова или дела,0
катушка,прибор или металлический остов с намотанной проволокой,0
катушка,двойная симметричная складка,0
смывать,падать,0
дар подарок сувенир,ценная вещь драгоценность,0
материальность вещественность,грубость,0
инфекционный,септический,0
улучшать  [הֵטִיב],улучшать  [הֵיטִיב],0
дно,остаток остатки,0
торговать,торговаться,0
печатание опубликование публикация издание выпуск в свет газеты книги печатной продукции,издательский относящийся к изданию печатанию опубликованию,0
бодрствующий не спящий,живой сообразительный,0
кормить питать прокармливать прокормить кормить вскармливать вскормить выкармливать выкормить поить кормить,питать,0
плата за место на рынке,плата за простой,0
название кустарника со съедобными листьями,кислятина,0
парламент,заседание парламента,0
поддержка поддержание,поддержка поощрение,0
обыгрывать обыграть,приобретать приобрести обретать обрести снискивать снискать стяжать,0
пешеход,сельский почтальон,0
пешеход,пешеходный,0
запасной запасный,запасной,0
угадывать отгадывать схватывать догадываться,гадать предсказывать,0
домашний семейный,бытовой,0
станция остановка,станция пункт,0
Ткань материал материя,Вязка,0
передняя часть перёд передняя лобовая сторона фронт фасад,вся поверхность,0
диаграмма ошибок,кривая погрешностей,0
успокаивать,укрощать,0
костистый имеющий крупные кости,костлявый,0
деланный,неестественный,0
разъединение разведение,разделение разобщение разъединение,0
цветок,испражнения,0
в ничто о ком о чем л не имеющем никакой цены лишенном серьезного значения все это в сравнении с ним ничто человек без труда ничто,ничто ничто меня не остановит ничто его не интересует,0
